"","x"
"78","New favourite: Street Of Dreams - Boston 1985 (Live) by Joe Lynn Turner https://t.co/JBn1vofaBx @DeezerIndo"
"79","@AshxShona i think its cause during the creative process they subconsciously think of their favourite colors from other palettes"
"80","I shouldn't be that part of you. <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>"
"81","RT @QasimalirazaAli: Office bearers and workers of the #MQM shall demonstrate solidarity with QT Altaf Hussain today in #Karachi #Pakistan"
"82","Set of 6 original Slazenger Tennis balls in original box. #tennis #antique #slazenger https://t.co/eXChEfY10P https://t.co/DDQ6rLc4ES"
"83","One half of me wants you, and the other half wants to forget"
"84","RT @charmwander: Sobrang laughtrip ni Quen <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> ""Get ready for the bigget turprite of your layp."" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #DolceAmoreDiscoveries"
"85","Recap of #DataScience News for February https://t.co/cG9dvx0dDh"
"86","Nieuwe favoriet: Gojira / The art of dying https://t.co/m5rwTPHZ1M @DeezerBelgium"
"87","@melclauds be weary of anime in general it's the devils work"
"88","Are you fond of animes? <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"89","RT @PoliticsJim: Trumps line of the night ""I have no problem I guarantee it"" (referring to his manliness) in #GOPDebate makes you:"
"90","Retweeted Matthew Sinclair (@mjhsinclair):

I have plenty of problems with Cameron, but the UK position on the... https://t.co/RtHHVdHzNE"
"91","@RegalEyes And your Katherine is so vulgar, speaking of lady's lower areas on Twitter, I must say."
"92","Check out this little panda! Made of solid bronze, he sits there munching away on bamboo.… https://t.co/JnpadPeVAX"
"93","RT @LitCaf: Osisiye Tafa will be reading from his book, '60% Of A True Story' described by @NGRGUARDIANNEWS as sublime &amp; swift https://t.co…"
"94","Incredible amount of potential donors in just one week! Now let's keep going for @cardiffuni's @match4vithiya <U+2764><U+FE0F> https://t.co/qswthJtERi"
"95","RT @waglenikhil: Hate politics of RSS/BJP/ ABVP has given birth to a new leader #KanhaiyaKumar . Aa Gaya Kanhaiya Kans Ka Naash Karne!"
"96","RT @CalendarClubUK: #FreebieFriday Win 1 of 3 Spring Inspired Travel Mugs. RT &amp; Follow @CalendarClubUK. Comp closes midnight 07/03/2016. ht…"
"97","RT @emprendedoresin: The Benefits Of Boxing - https://t.co/HXmepyPkxl via @Shareaholic"
"98","Got to download enormity out of curiosity. K. Haha."
"99","RT @UncleRodge: ""Discover what the TOP MLMers are doing 
online to build a FIVE OR SIX FIGURE a month 
business from the comfort of.""https:…"
"100","Seeds are one of the healthiest foods on the planet,they also naturally enhance athletic performance https://t.co/D4Rs7i4R0v @irishathletics"
"101","RT @SimpIy_Teens: I swear 13, 14 year old girls don't go through that awkward looking stage  anymore, most of them are prettier than me wit…"
"102","Syrian Kurdish YPG accuses opposition of violating deal: BEIRUT (Reuters) - The Syrian Kurdish YPG group said ... https://t.co/e1bnFgcscc"
"103","im like trying to learn the equivalent of all tehse FE classes in hoshido"
"104","RT @danwootton: Ouch! George Shelley's spokesman responds to my exclusive: ""The other members of Union J are simply jealous."" 
https://t.co…"
"105","2 Chronicles 5 v13 this was the intense worship that invoked the glory of the Lord"
"106","RT @ChampionsLeague: Happy birthday, Kenny Dalglish! 

One of Europe's most decorated players: https://t.co/iM3MQnpl0k #UCL https://t.co/Di…"
"107","RT @MattBomerDE: Pic of the day 
#MattSmiles #SmileEveryDay #MattBomer @MattBomer https://t.co/uSK6mfguEc"
"108","RT @BetPractice: 2/4 Game Analysis of 8 popular #betting markets for #Caen v #Monaco for the #Ligue1. #williamhill #trading #odds https://t…"
"109","RT @steveklabnik: What does an attack ad look like in our brave new world of presidential candidate dick size"
"110","Quantum Break is “the culmination of 21 years of work” https://t.co/KtBRygX41b"
"111","RT @AnnCoulter: This is stupid: 1=a misunderstanding (he meant Iraq) 2=change of facts/mind (a few refugees vs. 1000s)&amp; 3=exaggeration, qui…"
"112","RT @BleacherReport: .@kendricklamar’s record label CEO says “make sure y’all thank @KingJames” for new album
https://t.co/aOB7hudGbt https:…"
"113","Adesso in onda su #RadioSosCittà  American Authors -  Best Day Of My Life #Bari #Music #Hit"
"114","why do people think it's any of their business what you choose to do with YOUR life? do what makes you happy &amp; seriously f the rest."
"115","I am very proud of my daddy's name"
"116","@zay__ali lol true Arabic is like a huge ocean , but Urdu has lots of Arabic in it uno"
"117","RT @ThatSapphireBel: You are my kind of trouble ."
"118","@GangesJ top 1 anime of all time"
"119","RT @wykefarms: It’s here, its #FreeCheeseFriday®! To enter to #WIN a pack of our award-winning Cheddar this afternoon just RT&amp;F. https://t.…"
"120","@sardesairajdeep @IndiaToday @aajtak you can't afford the interviews of our brave soldier. Keeda , makaode ka interview ke liye aap laayak"
"121","Gears of War developer tells games industry: we must fight Microsoft | Technology via /r/gaming https://t.co/ar6kpDKabi"
"122","Let's go get mookata, <U+6D77><U+5E95><U+635E>, korean bbq and let's go cafe hooping with just the two of us after my exams <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https://t.co/Xs41BciP1K"
"123","We left Wilsall heading north through Ringling https://t.co/FpTiz7EkEF RT @Road_Products"
"124","May your ideals and character inspire the next generation of politicians from the region..... https://t.co/imcBnHmEtW"
"125","I feel like part of my soul has loved you since the beginning of everything, maybe we're from the same star<ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"126","@McMon86 See some thinks she will be back in last eps. Doesn't matter because they killed the character of it. Eliza is quiet..."
